Compagnie,Heure_du_départ,Heure_arrivée,Prix,Durée,aéroport,jour_du_vol,Compagnie_code,weekend_verif
TRANSAVIA,8:20 PM,9:50 PM,75.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-17,14,False
TRANSAVIA,4:15 PM,5:45 PM,81.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-23,14,False
TRANSAVIA,6:25 AM,7:55 AM,81.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-26,14,False
TRANSAVIA,6:25 AM,7:55 AM,81.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-10,14,False
TRANSAVIA,4:15 PM,5:45 PM,81.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-22,14,True
TRANSAVIA,4:15 PM,5:45 PM,81.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-11,14,False
TRANSAVIA,6:45 AM,8:15 AM,81.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-22,14,True
TRANSAVIA,8:20 PM,9:50 PM,81.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-10,14,False
TRANSAVIA,2:35 PM,4:05 PM,81.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-22,14,True
TRANSAVIA,6:45 AM,8:15 AM,81.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-23,14,False
TRANSAVIA,4:15 PM,5:45 PM,81.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-10,14,False
TRANSAVIA,8:20 PM,9:50 PM,81.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-14,14,True
TRANSAVIA,8:20 PM,9:50 PM,81.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-11,14,False
TRANSAVIA,12:55 PM,2:25 PM,81.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-11,14,False
TRANSAVIA,8:20 PM,9:50 PM,81.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-21,14,True
TRANSAVIA,4:15 PM,5:45 PM,81.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-19,14,False
TRANSAVIA,6:25 AM,7:55 AM,81.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-19,14,False
TRANSAVIA,8:20 PM,9:50 PM,81.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-19,14,False
TRANSAVIA,10:40 AM,12:10 PM,88.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-11,14,False
TRANSAVIA,10:15 AM,11:45 AM,88.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-10,14,False
TRANSAVIA,10:40 AM,12:10 PM,88.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-25,14,False
TRANSAVIA,2:00 PM,3:30 PM,88.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-23,14,False
TRANSAVIA,6:45 AM,8:15 AM,88.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-20,14,False
TRANSAVIA,9:10 AM,10:40 AM,88.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-26,14,False
TRANSAVIA,4:15 PM,5:45 PM,88.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-26,14,False
TUNISAIR,11:10 AM,12:35 PM,88.0,2 hr 25 min,ORYParis-Orly Airport,2024-09-22,15,True
TRANSAVIA,4:15 PM,5:45 PM,88.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-14,14,True
TRANSAVIA,6:45 AM,8:15 AM,88.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-15,14,True
TRANSAVIA,8:20 PM,9:50 PM,88.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-15,14,True
TRANSAVIA,4:15 PM,5:45 PM,88.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-17,14,False
TRANSAVIA,4:15 PM,5:45 PM,88.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-21,14,True
TRANSAVIA,6:45 AM,8:15 AM,88.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-21,14,True
TRANSAVIA,9:10 AM,10:40 AM,88.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-19,14,False
TRANSAVIA,12:55 PM,2:25 PM,88.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-25,14,False
TUNISAIR,10:00 PM,11:25 PM,89.0,2 hr 25 min,ORYParis-Orly Airport,2024-09-28,15,True
TUNISAIR,10:10 PM,11:35 PM,89.0,2 hr 25 min,ORYParis-Orly Airport,2024-09-22,15,True
TUNISAIR,8:30 PM,9:55 PM,89.0,2 hr 25 min,ORYParis-Orly Airport,2024-09-22,15,True
TUNISAIR,7:55 PM,9:20 PM,89.0,2 hr 25 min,ORYParis-Orly Airport,2024-09-25,15,False
TUNISAIR,10:30 PM,11:55 PM,89.0,2 hr 25 min,ORYParis-Orly Airport,2024-09-25,15,False
TUNISAIR,3:00 PM,4:25 PM,89.0,2 hr 25 min,ORYParis-Orly Airport,2024-09-25,15,False
TRANSAVIA,12:55 PM,2:25 PM,94.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-04,14,False
NOUVELAIR TUNISIE,9:50 PM,11:20 PM,94.0,2 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-05,9,False
TRANSAVIA,8:20 PM,9:50 PM,94.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-08,14,True
NOUVELAIR TUNISIE,11:35 AM,1:05 PM,94.0,2 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-04,9,False
TRANSAVIA,6:25 AM,7:55 AM,94.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-05,14,False
NOUVELAIR TUNISIE,6:25 PM,7:55 PM,94.0,2 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-28,9,True
TRANSAVIA,6:45 AM,8:15 AM,94.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-08,14,True
NOUVELAIR TUNISIE,9:50 PM,11:20 PM,94.0,2 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-19,9,False
NOUVELAIR TUNISIE,10:05 PM,11:35 PM,94.0,2 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-04,9,False
NOUVELAIR TUNISIE,11:35 AM,1:05 PM,94.0,2 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-23,9,False
TRANSAVIA,10:40 AM,12:10 PM,94.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-04,14,False
NOUVELAIR TUNISIE,6:50 PM,8:20 PM,94.0,2 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-04,9,False
NOUVELAIR TUNISIE,9:50 PM,11:20 PM,94.0,2 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-17,9,False
NOUVELAIR TUNISIE,6:50 PM,8:20 PM,94.0,2 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-11,9,False
NOUVELAIR TUNISIE,6:50 PM,8:20 PM,94.0,2 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-25,9,False
NOUVELAIR TUNISIE,11:35 AM,1:05 PM,94.0,2 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-10,9,False
TRANSAVIA,8:20 PM,9:50 PM,100.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-04,14,False
TRANSAVIA,4:15 PM,5:45 PM,100.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-08,14,True
TRANSAVIA,4:15 PM,5:45 PM,100.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-04,14,False
TRANSAVIA,9:10 AM,10:40 AM,100.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-05,14,False
TRANSAVIA,4:15 PM,5:45 PM,100.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-05,14,False
TRANSAVIA,8:20 PM,9:50 PM,100.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-05,14,False
TRANSAVIA,10:20 AM,11:50 AM,101.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-21,14,True
TRANSAVIA,10:15 AM,11:45 AM,101.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-17,14,False
TRANSAVIA,6:25 AM,7:55 AM,101.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-17,14,False
TRANSAVIA,12:55 PM,2:25 PM,101.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-15,14,True
TRANSAVIA,4:15 PM,5:45 PM,101.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-15,14,True
TRANSAVIA,10:20 AM,11:50 AM,101.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-14,14,True
TRANSAVIA,6:45 AM,8:15 AM,101.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-14,14,True
TRANSAVIA,8:10 PM,9:40 PM,101.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-20,14,False
TRANSAVIA,9:05 AM,10:35 AM,101.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-27,14,False
TRANSAVIA,9:05 AM,10:35 AM,101.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-20,14,False
TRANSAVIA,6:45 AM,8:15 AM,101.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-27,14,False
TRANSAVIA,4:15 PM,5:45 PM,101.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-20,14,False
TRANSAVIA,4:15 PM,5:45 PM,101.0,2 hr 30 min,ORYParis-Orly Airport,2024-09-27,14,False
TUNISAIR,10:45 AM,12:10 PM,102.0,2 hr 25 min,ORYParis-Orly Airport,2024-09-14,15,True
TUNISAIR,12:40 PM,2:05 PM,102.0,2 hr 25 min,ORYParis-Orly Airport,2024-09-14,15,True
