Compagnie,Heure_du_départ,Heure_arrivée,Prix,Durée,aéroport,jour_du_vol
Transavia,12:55 PM,2:25 PM,€94,2 hr 30 min,ORYParis-Orly Airport,2024-09-04
Nouvelair Tunisie,6:50 PM,8:20 PM,€94,2 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-04
Tunisair,3:00 PM,4:25 PM,€105,2 hr 25 min,ORYParis-Orly Airport,2024-09-04
Transavia,10:40 AM,12:10 PM,€94,2 hr 30 min,ORYParis-Orly Airport,2024-09-04
Nouvelair Tunisie,11:35 AM,1:05 PM,€94,2 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-04
Nouvelair Tunisie,10:05 PM,11:35 PM,€94,2 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-04
Transavia,4:15 PM,5:45 PM,€100,2 hr 30 min,ORYParis-Orly Airport,2024-09-04
Transavia,8:20 PM,9:50 PM,€100,2 hr 30 min,ORYParis-Orly Airport,2024-09-04
Tunisair,7:50 AM,9:15 AM,€105,2 hr 25 min,ORYParis-Orly Airport,2024-09-04
Tunisair,10:45 AM,12:10 PM,€105,2 hr 25 min,ORYParis-Orly Airport,2024-09-04
Tunisair,8:00 PM,9:25 PM,€105,2 hr 25 min,ORYParis-Orly Airport,2024-09-04
"Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Kiwi.com. Learn moreWizz Air, Nouvelair Tunisie",1:25 PM,12:30 PM+1,€114,24 hr 5 min,BVABeauvais–Tillé Airport,2024-09-04
"Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Dohop Connect. Learn moreeasyJet, Transavia",7:00 AM,11:45 AM,€130,5 hr 45 min,ORYParis-Orly Airport,2024-09-04
"Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Dohop Connect. Learn moreeasyJet, Transavia",7:00 AM,11:45 AM,€133,5 hr 45 min,CDGParis Charles de Gaulle Airport,2024-09-04
"Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Kiwi.com. Learn moreeasyJet, Tunisair",6:30 AM,12:35 PM,€135,7 hr 5 min,CDGParis Charles de Gaulle Airport,2024-09-04
Air EuropaOperated by Air Europa Express,10:55 AM,12:50 AM+2,€175,38 hr 55 min,ORYParis-Orly Airport,2024-09-04
Aegean,11:05 AM,11:55 PM,€180,13 hr 50 min,CDGParis Charles de Gaulle Airport,2024-09-04
Aegean,2:05 PM,11:55 PM,€180,10 hr 50 min,CDGParis Charles de Gaulle Airport,2024-09-04
Aegean,6:10 PM,11:55 PM,€180,6 hr 45 min,CDGParis Charles de Gaulle Airport,2024-09-04
Air Europa,5:10 PM,12:50 AM+2,€193,32 hr 40 min,ORYParis-Orly Airport,2024-09-04
Air Europa,7:25 PM,12:50 AM+2,€193,30 hr 25 min,ORYParis-Orly Airport,2024-09-04
ITA,6:10 AM,9:35 AM,€215,4 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-04
ITA,6:10 AM,5:05 PM,€215,11 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-04
ITA,11:40 AM,5:05 PM,€215,6 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-04
ITA,11:40 AM,9:35 AM+1,€215,22 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-04
ITA,1:55 PM,5:05 PM,€215,4 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-04
ITA,1:55 PM,9:35 AM+1,€215,20 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-04
ITA,6:15 PM,9:35 AM+1,€215,16 hr 20 min,CDGParis Charles de Gaulle Airport,2024-09-04
ITA,6:15 PM,5:05 PM+1,€215,23 hr 50 min,CDGParis Charles de Gaulle Airport,2024-09-04
"Tunisair, Tunisair Express",11:45 AM,5:15 PM,€221,6 hr 30 min,ORYParis-Orly Airport,2024-09-04
"Tunisair, Tunisair Express",11:45 AM,5:45 PM,€221,7 hr,ORYParis-Orly Airport,2024-09-04
"Tunisair, Tunisair Express",11:45 AM,9:15 PM,€221,10 hr 30 min,ORYParis-Orly Airport,2024-09-04
